电影名,导演,编剧,演员,类型,电影时长(分钟),上映时间(年),评分,票房,发行公司,制片公司
旋风骑士 Ride In The Whirlwind,蒙特·赫尔曼,杰克·尼科尔森,"卡梅隆·米切尔,米莉·佩金斯,杰克·尼科尔森",西部,82,1966,7.2,0.0,暂无发行公司,暂无制片公司
我的青春恋爱物语果然有问题 やはり俺の青春ラブコメはまちがっている。,吉村爱,"渡航,菅正太郎,待田堂子,高山克彦","江口拓也,早见沙织,东山奈央,小松未可子,悠木碧,桧山修之,柚木凉香,中原麻衣,近藤隆,井上麻里奈,佐佐木望,小清水亚美",喜剧,120,2013,8.7,0.0,暂无发行公司,暂无制片公司
007：大破量子危机 Quantum of Solace,马克·福斯特,"保罗·哈吉斯,尼尔·珀维斯,Robert Wade","丹尼尔·克雷格,朱迪·丹奇,欧嘉·柯瑞兰寇,马修·阿马立克,杰玛·阿特登",动作,106,2008,6.6,0.0,暂无发行公司,暂无制片公司
复仇者联盟2：奥创纪元 Avengers: Age of Ultron,乔斯·韦登,"乔斯·韦登,斯坦·李,杰克·科比","小罗伯特·唐尼,克里斯·海姆斯沃斯,马克·鲁弗洛,克里斯·埃文斯,斯嘉丽·约翰逊,杰瑞米·雷纳,詹姆斯·斯派德,塞缪尔·杰克逊,唐·钱德尔,亚伦·泰勒-约翰逊,伊丽莎白·奥尔森,保罗·贝坦尼,寇碧·史莫德斯,安东尼·麦凯,海莉·阿特维尔,伊德里斯·艾尔巴,斯特兰·斯卡斯加德,金秀贤,托马斯·克莱舒曼,安迪·瑟金斯,朱莉·德尔佩,斯坦·李,亨利·古德曼,多米尼克·普罗沃斯特-切克利,艾萨克·安德鲁斯",动作,142,2015,7.5,0.0,暂无发行公司,暂无制片公司
喋血街头 喋血街頭,吴宇森,"梁柏坚,吴宇森,秦小珍","梁朝伟,张学友,李子雄,任达华,甄楚倩,袁洁莹,鲍起静,吴宇森",剧情,130,1990,8.2,0.0,暂无发行公司,暂无制片公司
哈尔的移动城堡 ハウルの動く城,宫崎骏,"宫崎骏,吉田玲子","倍赏千惠子,木村拓哉,美轮明宏,我修院达也,神木隆之介,伊崎充则,大泉洋,大塚明夫,原田大二郎,加藤治子,都筑香弥子",动画,119,2004,9.0,0.0,暂无发行公司,暂无制片公司
大地震,陈静,"曹卫宇,张晞临,石文中,任学海,马浩博,郭岩,禹童,杨斯,侯传杲","曹卫宇,张晞临,石文中,任学海,马浩博,郭岩,禹童,杨斯,侯传杲",剧情,98,2019,6.0,0.0,暂无发行公司,暂无制片公司
灵魂战车 Ghost Rider,马克·斯蒂文·约翰逊,马克·斯蒂文·约翰逊,"尼古拉斯·凯奇,伊娃·门德斯,彼得·方达,山姆·艾里奥特,韦斯·本特利",动作,114,2007,6.6,0.0,暂无发行公司,暂无制片公司
惊声尖叫3 Scream 3,韦斯·克雷文,伊伦·克鲁格,"内芙·坎贝尔,列维·施瑞博尔,柯特妮·考克斯,大卫·阿奎特,杰米·肯尼迪",悬疑,116,2000,6.3,0.0,暂无发行公司,暂无制片公司
唱歌神探 The Singing Detective,基斯·戈登,丹尼斯·波特,"小罗伯特·唐尼,罗宾·怀特,梅尔·吉布森,杰瑞米·诺森,凯蒂·霍尔姆斯,艾德里安·布洛迪",喜剧,109,2003,6.7,0.0,暂无发行公司,暂无制片公司
高草丛中 In the Tall Grass,文森佐·纳塔利,"文森佐·纳塔利,斯蒂芬·金,乔·希尔","莱丝拉·德奥利维拉,哈里森·吉尔伯特森,艾弗里·维提德,帕特里克·威尔森,小威尔·布伊,蒂芙妮·赫尔姆,蕾切尔·威尔森",剧情,101,2019,6.4,0.0,暂无发行公司,暂无制片公司
生活大爆炸 第十二季 The Big Bang Theory Season 12,马克·森卓斯基,"查克·罗瑞,比尔·布拉迪","吉姆·帕森斯,约翰尼·盖尔克奇,凯莉·库柯,西蒙·赫尔伯格,昆瑙·内亚,梅丽莎·劳奇,马伊姆·拜力克,凯文·苏斯曼",喜剧,120,2018,9.6,0.0,暂无发行公司,暂无制片公司
史崔特先生的故事 The Straight Story,大卫·林奇,"约翰·罗奇,玛丽·斯威尼","茜茜·斯派塞克,Jane Galloway Heitz,Joseph A. Carpenter,Donald Wiegert,理查德·法恩斯沃斯,丹·弗兰纳里,埃德·格伦南,埃沃雷特·麦克吉尔,凯文·P·法利,约翰法利,哈利·戴恩·斯坦通",剧情,112,1999,8.6,0.0,暂无发行公司,暂无制片公司
一条狗的使命2 A Dog's Journey,盖尔·曼库索,"W·布鲁斯·卡梅伦,玛雅·福布斯,凯瑟琳·迈克,华莱士·沃洛达斯基","丹尼斯·奎德,凯瑟琳·普雷斯科特,刘宪华,玛格·海根柏格,贝蒂·吉尔平,乔什·加德,艾比·莱德·弗特森,杰克·曼利,达妮埃拉·巴博萨,陈琦烨,杰夫·罗普,吉姆·科比",剧情,108,2019,6.9,0.0,暂无发行公司,暂无制片公司
电影配乐传奇 Score: A Film Music Documentary,马特·施拉德,马特·施拉德,"汉斯·季默,丹尼·艾夫曼,达里奥·马里安奈利,特伦特·雷诺,阿提喀斯·罗斯,帕特里克·道尔,詹姆斯·霍纳,布莱恩·泰勒,约翰·鲍威尔,马克·马瑟斯鲍夫,亨利·杰克曼,约翰·戴布尼,马可·贝尔崔米,克里斯托弗·贝克,泰勒·贝茨,大卫·阿诺德,克里斯托弗·杨,西托·佩雷拉,麦切尔·丹纳,洛内·巴尔菲,蕾切尔·波特曼,埃尔默·伯恩斯坦,安东尼奥·桑切斯,杰瑞·高德史密斯,乔·克雷默",纪录片,93,2016,8.1,0.0,暂无发行公司,暂无制片公司
我左眼见到鬼,杜琪峰,"韦家辉,欧健儿,游乃海","郑秀文,刘青云,应采儿,李珊珊,林雪,任达华,黄文慧,林熙蕾",喜剧,98,2002,7.3,0.0,暂无发行公司,暂无制片公司
十三罗汉 Ocean's Thirteen,史蒂文·索德伯格,"布赖恩·科佩尔曼,大卫·莱维恩,乔治·克莱顿·约翰逊,杰克·戈登·拉塞尔  ","乔治·克鲁尼,布拉德·皮特,马特·达蒙,迈克尔·曼特尔,埃利奥特·古尔德,雷·昔佛,阿尔·帕西诺,亚当·拉扎尔-怀特,埃迪·杰米森,唐·钱德尔,秦少波,卡西·阿弗莱克,斯科特·凯恩,伯尼·麦克,卡尔·雷纳",惊悚,122,2007,7.4,0.0,暂无发行公司,暂无制片公司
玉子 옥자,奉俊昊,"奉俊昊,乔恩·容森","蒂尔达·斯文顿,保罗·达诺,安瑞贤,边熙峰,史蒂文·元,莉莉·柯林斯,尹宰文,雪莉·亨德森,丹尼尔·亨绍尔,戴文·博斯蒂克,崔宇植,吉安卡罗·埃斯波西托,杰克·吉伦哈尔,李静恩,崔嬉序,尹敬浩,赵莞基,迈克尔·米尔顿,凯瑟琳·柯克帕特里克,李凤莲,朴根祿,埃里克·德·波尔,科里·格鲁特-安德鲁,亚当·奥斯兰德,瓦里丝·阿卢瓦利亚,T· 撒哈拉·米尔,安德烈亚斯·弗龙克,迈尔斯·哈姆帕斯",剧情,120,2017,6.6,0.0,暂无发行公司,暂无制片公司
黄飞鸿系列之一代宗师 黃飛鴻系列之一代宗師,李钊,"司徒安,黄寿康,李钊,左颂升","钱嘉乐,林正英,吴雪雯",武侠,93,1992,5.7,0.0,暂无发行公司,暂无制片公司
哪吒传奇,蔡志军,"吴楠,卞智洪,孟瑶","郝幽玥,高枫,张云龙",剧情,120,2003,8.9,0.0,暂无发行公司,暂无制片公司
战争与和平 War and Peace,金·维多,"列夫·托尔斯泰,Bridget Boland,Robert Westerby,金·维多,马里奥·卡梅里尼,Ennio De Concini","奥黛丽·赫本,亨利·方达,梅尔·费勒,维托里奥·加斯曼,赫伯特·罗姆,奥斯卡·霍莫尔卡,安妮塔·艾克伯格,赫尔穆特·丹丁,托里奥·卡米纳提,巴里·琼斯,麦莉·韦特尔,杰瑞米·布雷特",剧情,208,1956,7.6,0.0,暂无发行公司,暂无制片公司
恶魔城 第一季 Castlevania Season 1,山姆·迪茨,沃伦·埃利斯,"理查德·阿米蒂奇,詹姆斯·卡利斯,格拉汉姆·麦克泰维什,托尼·阿门多拉,马特·弗里沃,艾米莉·斯沃洛,亚历贾德拉·雷诺索,Jonathan Lipow,马特·洛,莫伊拉·奇克,安德烈·索格利扎索,法比欧·塔索恩,弗雷德·塔特西奥",动作,120,2017,7.6,0.0,暂无发行公司,暂无制片公司
安托尼奥之死 O Dragão da Maldade contra o Santo Guerreiro,格劳贝尔·罗恰,格劳贝尔·罗恰,"Maurício do Valle,Odete Lara,奥顿·巴斯托斯",剧情,100,1969,6.9,0.0,暂无发行公司,暂无制片公司
猩球崛起2：黎明之战 Dawn of the Planet of the Apes,马特·里夫斯,"马克·鲍姆贝克,里克·杰法,阿曼达·斯尔沃,皮埃尔·布尔","安迪·瑟金斯,杰森·克拉克,加里·奥德曼,凯丽·拉塞尔,托比·凯贝尔,柯蒂·斯密特-麦菲,柯克·埃斯沃多,尼克·瑟斯顿,泰瑞·诺塔里,卡琳·考诺娃,朱迪·格雷尔,乔恩·阿兹,恩里克·穆西安诺,拉勒米·道克·肖,李·罗斯",剧情,130,2014,7.6,0.0,暂无发行公司,暂无制片公司
烽火奇遇结良缘 烽火奇遇結良緣,陈新侠,李绮华,"宣萱,马德钟,欧倩怡",武侠,120,2004,6.5,0.0,暂无发行公司,暂无制片公司
抱紧他 Holding the Man,尼尔·阿姆菲尔德,汤米·墨菲,"瑞安·柯尔,克雷格·斯托特,盖·皮尔斯,杰弗里·拉什,安东尼·拉帕格利亚,莎拉·斯努克,凯瑞·福克斯,汤姆·霍布斯,克里斯·麦奎德,卡尔林·费尔法克斯,李·柯尔梅,吉娜·莱利",剧情,127,2015,7.7,0.0,暂无发行公司,暂无制片公司
被遗忘的孩子 All the Invisible Children,吴宇森,"梅迪·夏夫,Diego De Silva,Stribor Kusturica,Cinqué Lee,茹瓦·李,李樯,卡迪亚·兰德,乔丹·斯科特,Eduardo Tripa,斯特法诺·维内鲁索","汉娜·霍德森,安德烈·罗佑 ,罗茜·佩雷兹,荷砦尔古德曼,Coati Mundi,Lanette Ware,大卫·休里斯,凯莉·麦克唐纳,Jordan Clarke,Jack Thompson,Jake Ritzema,玛丽亚·格拉齐亚·库奇诺塔,Ernesto Mahieux,乔瓦尼·埃斯波西托,蒋雯丽,尤勇",剧情,124,2005,8.5,0.0,暂无发行公司,暂无制片公司
侠岚 第一季,关心,"郭宙明,苗萌,关心","山新,赵毅",动画,120,2012,7.8,0.0,暂无发行公司,暂无制片公司
网球王子 テニスの王子様,滨名孝行,许斐刚,"皆川纯子,置鲇龙太郎,近藤孝行,甲斐田雪,川本成,高桥广树,津田健次郎,小野坂昌也,喜安浩平,尾小平志津香,高桥美佳子,川原庆久,森山荣治,铃木千寻,木村亚希子,诹访部顺一,保志总一朗,木内秀信,鹤冈聪,浪川大辅,石田彰,鸟海浩辅,佐佐木望,森久保祥太郎,丰永利行,乡田穗积,水野理纱,松山鹰志",喜剧,120,2001,8.4,0.0,暂无发行公司,暂无制片公司
灰体,TeeEgg,安蔚,"陶典,黄莺,陈超群,孟祥龙,吴磊,贾志超,拜跃,赵路,程玉珠,赵乾景",剧情,120,2015,8.8,0.0,暂无发行公司,暂无制片公司
喜宴 囍宴,李安,"李安,冯光远,詹姆斯·夏慕斯","赵文瑄,郎雄,归亚蕾,金素梅,米切尔·利希藤斯坦",剧情,108,1993,8.9,0.0,暂无发行公司,暂无制片公司
斯皮尔伯格 Spielberg,苏珊娜·莱西,苏珊娜·莱西,"史蒂文·斯皮尔伯格,阿诺德·斯皮尔伯格,莉亚·阿德勒,汤姆·汉克斯,莱昂纳多·迪卡普里奥,乔治·卢卡斯,约翰·威廉姆斯,丹尼尔·戴-刘易斯,哈里森·福特,拉尔夫·费因斯,马丁·斯科塞斯,德鲁·巴里摩尔,劳拉·邓恩,弗朗西斯·福特·科波拉,理查德·德莱福斯,J·J·艾布拉姆斯,罗伯特·泽米吉斯,布莱恩·德·帕尔玛,奥普拉·温弗瑞,克里斯蒂安·贝尔,连姆·尼森,凯特·布兰切特,丹尼尔·克雷格,达斯汀·霍夫曼,莎莉·菲尔德",纪录片,147,2017,8.1,0.0,暂无发行公司,暂无制片公司
死侍2：我爱我家 Deadpool 2,大卫·雷奇,"瑞特·里斯,保罗·韦尼克,瑞恩·雷诺兹,杰克·科比,斯坦·李,罗伯·莱菲尔德,露易丝·西蒙森,莱恩·韦恩,克里斯·克雷蒙,戴夫·科克勒姆,法比安·尼切扎","瑞恩·雷诺兹,乔什·布洛林,朱利安·迪尼森,斯蒂芬·卡皮契奇,莎姬·贝兹,T·J·米勒,莱斯利·格塞斯,卡兰·索尼,布里安娜·希德布兰德,莫蕾娜·巴卡琳,杰克·凯西,埃迪·马森,忽那汐里,兰德尔·瑞德,尼古莱·维切尔,赛尔·哈里斯,罗伯·德兰尼,刘易斯·谭,比尔·斯卡斯加德,泰瑞·克鲁斯,布拉德·皮特,罗伯特·梅耶,艾伦·图代克,马特·达蒙,海莉·塞尔斯,麦克·多普德,卢克·勒斯勒尔,亨特·狄龙,大卫·雷奇,山姆·哈格雷夫,尼古拉斯·霍尔特",喜剧,119,2019,7.3,0.0,暂无发行公司,暂无制片公司
宠儿 The Favourite,欧格斯·兰斯莫斯,"德博拉·戴维斯,托尼·麦克纳马拉","奥利维娅·科尔曼,艾玛·斯通,蕾切尔·薇兹,尼古拉斯·霍尔特,乔·阿尔文,马克·加蒂斯,蒂莫西·英纳斯,珍妮·莱恩斯福德,詹姆斯·史密斯,詹姆斯·梅尔维尔,杰克·维尔",剧情,119,2018,7.5,0.0,暂无发行公司,暂无制片公司
上古密约,扈耀之,"豆丁,易小草,杨立,耀之,倪婧","吴磊,宋祖儿,王俊凯,郭俊辰,张龄心,郑凯,高仁,刘琳,元华,宣言,章煜奇,刘金山",奇幻,120,2020,4.3,0.0,暂无发行公司,"湖南芒果娱乐有限公司 Hunan Mango Entertainment Co.,Ltd/芒果超媒股份有限公司 /北京天娱传媒有限公司  Beijing Tianyu Media Co.,Ltd/华悦影视制作（天津）有限公司 Huayue Entertainment （Tianjin）Co.,Ltd"
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,刘镇伟,"刘镇伟,吴承恩","周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚,江约诚,陆树铭,刘镇伟,朱茵,李健仁",喜剧,87,1995,9.0,0.0,暂无发行公司,暂无制片公司
决战猩球 Planet of the Apes,蒂姆·波顿,"皮埃尔·布尔,小威廉·保尔斯,劳伦斯·康纳尔,马克·罗森塔尔","马克·沃尔伯格,海伦娜·伯翰·卡特,蒂姆·罗斯,艾斯黛拉·沃伦,迈克·克拉克·邓肯,保罗·吉亚玛提,田川洋行,大卫·沃纳,克里斯·克里斯托佛森,艾瑞克·阿瓦利",动作,119,2001,6.8,0.0,暂无发行公司,暂无制片公司
天盛长歌,沈严,"路怡,邹越,卢菁,王佩,邱永懿","陈坤,倪妮,赵立新,倪大红,袁弘,白敬亭,张晓晨,刘敏涛,海一天,朱锐,修庆,于明加,尹铸胜,胡可,李菁菁,梅婷,昌隆,王鸥,邓莎",爱情,120,2018,8.1,0.0,"上海辛迪加影视有限公司 China Syndication Entertainment  Co.,Ltd","上海辛迪加影视有限公司 China Syndication Entertainment  Co.,Ltd/东申（上海）影业有限公司 Dongshen (Shanghai) Pictures Co.,Ltd /霍尔果斯好麦文化传媒有限公司 Huoerguosi Haomai culture media Co., Ltd/北京爱奇艺科技有限公司 Beijing Iqiyi Co.,Ltd/中文在线（天津）文化发展有限公司 Chinese online (Tianjin) Culture Development Co., Ltd/北京新影联影业有限责任公司 Beijing New Film Association Co,.Ltd"
完美音调 Pitch Perfect,杰森·摩尔,"凯·加农,米奇·拉普金","安娜·肯德里克,斯盖拉·阿斯丁,本·普拉特,布兰特妮·斯诺,安娜·坎普,蕾蓓尔·威尔森,亚历克西斯·克纳普,伊丝特尔·迪恩,汉娜·梅·李,凯莉·杰科,瓦妮塔·沃姆斯利,雪莉·芮格娜,卡罗琳·富尔米,妮科尔·洛文斯,亚当·德维尼,乌特卡什·安邦德卡尔,迈克尔·维鲁特,大卫·德尔·里奥,伊丽莎白·班克斯,约翰·迈克尔·辛吉斯,约翰·本杰明·西基,弗雷迪·史卓玛,郑珍熙,雅各布·威索基,斯科特·施尔斯通,布洛克·凯利,卡梅隆·迪恩·斯图尔特,凯瑟·多诺休",喜剧,112,2012,7.4,0.0,暂无发行公司,暂无制片公司
猜火车2 T2 Trainspotting,丹尼·博伊尔,"约翰·霍奇,埃文·威尔什","伊万·麦克格雷格,约翰尼·李·米勒,罗伯特·卡莱尔,艾文·布莱纳,雪莉·亨德森,安杰拉·奈迪亚科娃,史蒂文·罗伯特森,戈登·肯尼迪,西蒙·韦尔,詹姆斯·科兹莫,梁佩诗,阿塔·雅谷伯,埃文·威尔什,凯莉·麦克唐纳,艾琳·尼古拉斯,凯文·麦克基德,艾米·曼森,波林·林奇,特丽莎·达斯科娃",剧情,117,2017,8.0,0.0,暂无发行公司,暂无制片公司
一人之下 第二季,陈烨,米二,"曹云图,小连杀,彭尧,宝木中阳,阿杰,山新,藤新,图特哈蒙,张遥函,张云明,陈张太康,张震,TK",喜剧,120,2017,9.2,0.0,暂无发行公司,暂无制片公司
直到我们可以 Until We Could,陈俊彦,"大卫·洛维,陈俊彦,Richard Blanco","罗宾·怀特,本·福斯特,奥古斯丁·弗里泽尔",短片,120,2014,8.5,0.0,暂无发行公司,暂无制片公司
童年往事,侯孝贤,"朱天文,侯孝贤","游安顺,田丰,梅芳,唐如韫,萧艾,吴素莹,陈淑芳,辛树芬,严圣华,周栋宏,陈汉文,胡翔评,林崇文,高重黎,陶德辰,陈志贞,江宝德,张宁,罗泽中,罗诚业,张家宝,罗勋琳,刘国宾",剧情,137,1985,8.8,0.0,暂无发行公司,暂无制片公司
悬崖上的金鱼姬 崖の上のポニョ,宫崎骏,宫崎骏,"奈良柚莉爱,土井洋辉,山口智子,长岛一茂,天海祐希,所乔治,柊瑠美,矢野显子,吉行和子,奈良冈朋子,左时枝,羽鸟慎一,平冈映美,大桥望美",动画,101,2008,8.5,0.0,暂无发行公司,暂无制片公司
马达加斯加 Madagascar,埃里克·达尼尔,"马克·伯顿,比利·弗罗利克,埃里克·达尼尔,汤姆·麦格拉思","本·斯蒂勒,克里斯·洛克,大卫·休默,贾达·萍克·史密斯,萨莎·拜伦·科恩",喜剧,86,2005,7.8,0.0,暂无发行公司,暂无制片公司
蝙蝠侠与罗宾 Batman & Robin,乔·舒马赫,"鲍勃·凯恩,阿齐瓦·高斯曼","阿诺·施瓦辛格,乔治·克鲁尼,克里斯·奥唐纳,乌玛·瑟曼,艾丽西亚·希尔维斯通,迈克尔·高夫,帕特·亨格尔,约翰·格洛弗,艾拉·麦克弗森,薇薇卡·福克斯,温德拉·科斯伯姆,Elizabeth Sanders,吉普·斯温森,约翰·芬克,迈克尔·雷德·麦基,艾力克·洛伊德",动作,125,1997,6.1,0.0,暂无发行公司,暂无制片公司
歌剧魅影2：真爱不死 Love Never Dies,Brett Sullivan,"安德鲁·洛伊德·韦伯,本·埃尔顿,格伦·斯莱特,弗雷德里克·福赛斯","本·刘易斯,Anna O'Byrne,María Mercedes,Simon Gleeson,Sharon Millerchip",爱情,121,2010,6.5,0.0,暂无发行公司,暂无制片公司
遥远的国度 The Far Country,安东尼·曼,博登·蔡斯,"詹姆斯·斯图尔特,露丝·罗曼,科里恩·卡尔弗特,沃尔特·布伦南,约翰·麦克因泰",爱情,97,1954,7.2,0.0,暂无发行公司,暂无制片公司
"麦克法兰 McFarland, USA",妮琪·卡罗,查尔斯·克利夫兰,"凯文·科斯特纳,拉米罗·罗德里格斯,卡洛斯·普拉斯,约翰尼·奥蒂斯,拉斐尔·马丁内斯,赫克托·杜兰,塞吉奥·阿维拉尔,迈克尔·阿圭罗,戴安娜·玛丽亚·里瓦,奥马尔·莱瓦,维勒特·罗德里格斯,丹尼·莫拉,玛丽亚·贝罗,摩根·塞勒,艾尔西·费舍尔",剧情,129,2015,8.3,0.0,暂无发行公司,暂无制片公司
"如晴天，似雨天 Like Sunday, Like Rain",弗兰克·威利,弗兰克·威利,"朱利安·夏特金,莉顿·梅斯特,黛博拉·梅辛,欧嘉·梅雷迪斯,韦恩·普雷特洛,乔治娅·希梅内斯·里弗谢,阿尔弗雷多·纳西索,比利·乔·阿姆斯特朗,萨布丽娜·马查多,达茜·福勒,Heather Whaley,Sammy Pignalosa,Frank Shattuck,Tamara Torres,Buster Whaley",剧情,104,2014,8.3,0.0,暂无发行公司,暂无制片公司
咒怨(美版) The Grudge,清水崇,Stephen Susco,"莎拉·米歇尔·盖拉,比尔·普尔曼,杰森·贝尔,克里·杜瓦尔,卡迪·斯特瑞兰德",悬疑,92,2004,6.3,0.0,暂无发行公司,暂无制片公司
X战警2 X2,布莱恩·辛格,"迈克尔·道赫蒂,丹·哈里斯,大卫·海特","帕特里克·斯图尔特,休·杰克曼,伊恩·麦克莱恩,哈莉·贝瑞,法米克·詹森,詹姆斯·麦斯登,安娜·帕奎因,丽贝卡·罗梅恩,布莱恩·考克斯,胡凯莉,亚伦·斯坦福",动作,133,2003,7.7,0.0,暂无发行公司,暂无制片公司
曾经 Once,约翰·卡尼,约翰·卡尼,"格伦·汉塞德,玛可塔·伊尔格洛娃",剧情,86,2007,8.3,0.0,暂无发行公司,暂无制片公司
生活大爆炸  第三季 The Big Bang Theory Season 3,Mark Cendrowski,"查克·罗瑞,比尔·布拉迪","约翰尼·盖尔克奇,吉姆·帕森斯,凯莉·库柯,西蒙·赫尔伯格,昆瑙·内亚,梅丽莎·劳奇,凯文·苏斯曼,克里斯汀·芭伦斯基,朱迪·格雷尔,约书亚·马林纳,威尔·惠顿,翠西亚·希弗,斯坦·李",喜剧,120,2009,9.4,0.0,暂无发行公司,暂无制片公司
寻找薇薇安·迈尔 Finding Vivian Maier,约翰·马卢夫,"约翰·马卢夫,查理·西斯科尔","约翰·马卢夫,玛丽·艾伦·马克,菲尔·多纳休,薇薇安·迈尔,蒂姆·罗斯",悬疑,83,2013,8.8,0.0,暂无发行公司,暂无制片公司
青蛇,徐克,"李碧华,徐克","张曼玉,王祖贤,赵文卓,吴兴国,马精武,田丰,刘洵",剧情,99,1993,8.5,0.0,暂无发行公司,暂无制片公司
航海王：狂热行动 ONE PIECE STAMPEDE,大塚隆史,"尾田荣一郎,大塚隆史,富冈淳广","田中真弓,冈村明美,中井和哉,山口胜平,平田广明,大谷育江,山口由里子,矢尾一树,长岛雄一,古谷彻,千叶繁,三石琴乃,神谷浩史,大场真人,关智一,大友龙三郎,挂川裕彦,西原久美子,岛田敏,桧山修之,松冈洋子,浪川大辅,真殿光昭,龙田直树,竹本英史,楠大典,宗矢树赖,高木礼子,滨田贤二,加濑康之,森久保祥太郎,石田彰,大川透,中博史,立木文彦,置鲇龙太郎,泽木郁也,中友子,野田顺子,土井美加,永野广一,伊仓一惠,太田真一郎,花田光,小山刚志,服卷浩司,山田真一,高冢正也,平井启二,清水健佑,田边幸辅,坂井易直,寺崎千波也,美藤大树,内海安希子,柴田平美,千须和侑里子,细田启信,堤勇高,日野佑希人,藤井弘辉,小川功二,大森万梨乃,河谷麻瑚,坂本刚史,柴田美奈,川岛壮雄,冈部枫子,森夏美,加藤雅也,福吉贵文,藤尾悠,新垣泉子,中原理菜,高桥幸,金井杏树,小山波留,辻本祐佳,渡边清子,大门桃子,岩崎广辉,山本凉介,岩上隼也,龙梦柔,竹中直人,指原莉乃,山里亮太,中山裕介,津嘉山正种,大塚明夫,园部启一,古川登志夫,矶部勉",动画,101,2019,7.7,0.0,暂无发行公司,暂无制片公司
手拉手 Main dans La Main,薇拉莉·邓泽里,"杰瑞米·埃尔卡伊姆,薇拉莉·邓泽里,吉勒·马尚","杰瑞米·埃尔卡伊姆,薇拉莉·邓泽里,瓦莱丽·勒梅西埃,比阿特丽丝·德·斯塔尔,赛尔日·波宗,菲利普·劳登巴赫,安托万·夏佩,弗朗索瓦·罗兰,布鲁诺·莱文,尼古拉·查莱特",歌舞,81,2012,6.6,0.0,暂无发行公司,暂无制片公司
鲁邦三世特别公映版 ルパン三世 1st. TVシリーズ,高畑勋,加藤一彦,"山田康雄,小林清志,二阶堂有希子,纳谷悟朗",喜剧,105,2009,8.5,0.0,暂无发行公司,暂无制片公司
画壁,陈嘉上,"刘浩良,陈嘉上,谭广源,王思敏","邓超,孙俪,闫妮,郑爽,柳岩,谢楠,邹兆龙,包贝尔,曾志伟,莫小棋,安志杰,包文婧,夏一瑶,蓝盈莹",剧情,122,2011,4.7,15066.9,"北京光线影业有限公司 Beijing Enlight Pictures Co.,Ltd","精英制作公司 Top Gun Production Co.,Ltd"
穆赫兰道 Mulholland Dr.,大卫·林奇,大卫·林奇,"娜奥米·沃茨,劳拉·哈灵,安·米勒,贾斯汀·塞洛克斯,斯科特·科菲,梅利莎·乔治,布兰特·布里斯科,罗伯特·福斯特,凯瑟琳·汤,李·格兰特,比利·雷·赛勒斯,查德·艾微特,丽塔·塔格特,詹姆斯·凯伦,洛里·海瑞,安哲罗·巴达拉曼提,迈克尔·德·巴雷斯,马库斯·格雷厄姆,丹·哈达亚,马克·佩雷格里诺,蒙蒂·蒙哥马利,迈克尔·J·安德森",剧情,147,2001,8.3,0.0,暂无发行公司,暂无制片公司
巨额来电,彭顺,柳桦,"陈学冬,张孝全,桂纶镁,蒋梦婕,姜超,张兆辉,陈欣健,何华超,雪村,谭凯",剧情,123,2017,5.8,5581.4,"寰宇纵横世纪电影发行（北京）有限公司 Huanyu Zongheng Shiji Film Distribution (Beijing) Co.,Ltd/上海淘票票影视文化有限公司 Shanghai Tao Piao Piao Entertainment Co.,Ltd /浙江华策影视股份有限公司  Zhejiang Huace Film &amp; TV Co., Ltd","国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT/寰宇娱乐有限公司 Universe Entertainment/华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd/广东英明文化传播有限公司 Guangdong Yingming Culture Communication Co., Ltd./太阳娱乐文化有限公司 Sun Entertainment Culture Limited/海宁卓越影视投资股份有限公司 Haining Zhuoyue Entertainment Investment Co.,Ltd/大连景一传媒有限公司 Dalian Jing Yi Media Co., Ltd/优酷电影（香港）有限公司 Youku film (Hongkong) Co., Ltd/浙江横店影业有限公司 Zhejiang Hengdian Film Industry Co., Ltd"
百合子之香 ユリ子のアロマ,吉田浩太,吉田浩太,"江口德子,染谷将太,松野井雅,木岛法子,笠井しげ,外間勝,鈴木ゆか,金子ゆい,美保纯",剧情,74,2010,6.0,0.0,暂无发行公司,暂无制片公司
春光灿烂猪八戒,范小天,张炭,"徐峥,陶虹,孙兴,李立群,陈红,翁虹,屈中恒,钮承泽,嘉玲,王伯昭,戴春荣,金巧巧",剧情,120,2000,7.7,0.0,暂无发行公司,暂无制片公司
驯妻记 McLintock!,安德鲁·麦克拉格伦,詹姆斯·爱德华·格兰特,"约翰·韦恩,玛琳·奥哈拉",喜剧,127,1963,6.9,0.0,暂无发行公司,暂无制片公司
玻璃城堡 The Glass Castle,德斯汀·克里顿,"德斯汀·克里顿,安德鲁·兰纳姆,珍妮特·沃尔斯","布丽·拉尔森,伍迪·哈里森,娜奥米·沃茨,艾拉·安德森,钱德勒·海德,马克思·格林菲尔德,乔希·卡拉斯,查理·肖特韦尔,伊恩·阿米蒂奇,莎拉·斯努克,萨迪·辛克,奥利维亚·凯特·莱斯,布里盖特·伦迪·佩恩,席瑞·克鲁克斯,伊登·格雷斯·雷德菲尔德,罗宾·巴特利特,乔·平格,多米尼克·博加特",剧情,127,2017,7.6,0.0,暂无发行公司,暂无制片公司
