电影名,导演,编剧,演员,类型,电影时长(分钟),上映时间(年),评分,票房,发行公司,制片公司
阿莉芙,王育麟,"王育麟,徐华谦,花柏容,陈慧玲,朱丽安娜·许","舞炯恩·加以法利得,赵逸岚,吴朋奉,陈竹昇,郑人硕,胡德夫",剧情,97,2017,6.3,0.0,暂无发行公司,暂无制片公司
兽穴 第一季 The Lair Season 1,弗雷德·欧伦·雷,"Peter Stickles,David Moretti,Dylan Vox","Peter Stickles,David Moretti,Dylan Vox",剧情,120,2007,5.7,0.0,暂无发行公司,暂无制片公司
权力的游戏 第五季 Game of Thrones Season 5,迈克尔·斯洛维斯,"戴维·贝尼奥夫,D·B·威斯,乔治·马丁","艾米莉亚·克拉克,彼特·丁拉基,基特·哈灵顿,琳娜·海蒂,尼古拉·科斯特-瓦尔道,麦茜·威廉姆斯,苏菲·特纳,娜塔莉·多默尔,艾丹·吉伦,斯蒂芬·迪兰,约翰·C·布莱德利,娜塔莉·伊曼纽尔,格温多兰·克里斯蒂,伊恩·格雷,阿尔菲·艾伦,米希尔·赫伊斯曼,朱利安·格洛弗,伊恩·麦克尔希尼,卡里斯·范·侯登,亚历山大·希迪格,乔纳森·普雷斯,凯莎·卡斯特-休伊斯,托比·塞巴斯蒂安,尼尔·泰格·弗莉,道比·欧帕瑞,恩佐·科伦蒂,杰西卡·亨维克,罗莎贝尔·劳伦蒂·塞勒斯,马克·加蒂斯",剧情,120,2015,9.3,0.0,暂无发行公司,暂无制片公司
间谍同盟 Allied,罗伯特·泽米吉斯,斯蒂文·奈特,"布拉德·皮特,玛丽昂·歌迪亚,马修·古迪,丽兹·卡潘,夏洛特·霍普,拉菲·卡西迪,杰瑞德·哈里斯,克里斯蒂安·鲁贝克,丹尼尔·贝茨,安格斯·肯尼迪,贾森·马修森,大卫·邦纳维尔,奥古斯特·迪赫",剧情,124,2016,7.0,0.0,暂无发行公司,暂无制片公司
跳芭蕾舞的男孩 Мой папа - Барышников,Dmitry Povolotsky,Dmitry Povolotsky,"安娜·米哈尔科娃,Vladimir Kapustin,Lyudmila Titova",喜剧,88,2011,8.0,0.0,暂无发行公司,暂无制片公司
剪刀手爱德华 Edward Scissorhands,蒂姆·波顿,"蒂姆·波顿,卡罗琳·汤普森","约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特,安东尼·迈克尔·豪尔,凯西·贝克,罗伯特·奥利维里,康查塔·费雷尔,卡罗琳·阿隆,迪克·安东尼·威廉姆斯,澳澜·琼斯,文森特·普莱斯,艾伦·阿金,苏珊·布洛马特,约翰·戴维森,Bryan Larkin,Victoria Price,Stuart Lancaster,Gina Gallagher,阿隆·鲁斯汀,阿兰·弗吉,史蒂文·布里尔,Peter Palmer,马克·麦考利,唐娜·派洛尼,Ken DeVaul,Kathy Dombo,Tabetha Thomas,尼克·卡特",剧情,105,1990,8.7,0.0,暂无发行公司,暂无制片公司
驯龙高手 How to Train Your Dragon,迪恩·德布洛斯,"威廉姆·戴维斯,迪恩·德布洛斯,克里斯·桑德斯,葛蕾熙达·柯维尔","杰伊·巴鲁切尔,杰拉德·巴特勒,克雷格·费格森,亚美莉卡·费雷拉,乔纳·希尔,克里斯托夫·梅兹-普莱瑟,T·J·米勒,克里斯汀·韦格,罗宾·阿特金·唐斯,菲利普·麦格雷德,基隆·埃利奥特,阿什利·詹森,大卫·田纳特",动画,98,2010,8.7,0.0,暂无发行公司,暂无制片公司
欢乐分裂 Joy Division,格兰特·吉,乔恩·萨维奇,"安东·寇班,伊恩·柯蒂斯,彼得·胡克,吉尼西斯·P-奥里奇,巴尼·萨默,托尼·威尔森,Richard Boon,Kevin Cummins,Bob Dickinson,Lesley Gilbert,Iain Gray,Rob Gretton,Martin Hannett,Alan Hempsall,Annik Honoré,Joy Division,Richard H. Kirk,Terry Mason,Paul Morley,斯蒂芬·莫里斯,John Peel,Pete Shelley",纪录片,93,2007,9.0,0.0,暂无发行公司,暂无制片公司
阿波罗11号 Apollo 11,托德·道格拉斯·米勒,约翰·肯尼迪,"尼尔·阿姆斯特朗,迈克尔·柯林斯,巴兹·奥德林,迪克·斯雷顿,克利福德·E·查尔斯沃思,查尔斯·杜克,吉因·克兰兹,吉姆·洛威尔,约翰·肯尼迪,珍妮特·阿姆斯特朗,琼·安·阿彻,沃尔特·克朗凯特,林登·贝恩斯·约翰逊,格林·伦尼,理查德·尼克松,休·欧布莱恩,Bruce McCandless II,H. David Reed,Bill Anders,Patricia Mary Finnegan,Andy Aldrin",纪录片,93,2019,8.7,0.0,暂无发行公司,暂无制片公司
德州棉花 Texas Cotton,Tyler Russell,"Jameel Khaja,Tyler Russell","乔治·哈迪,杰森·道格拉斯,蒂凡妮·谢皮斯,吉因·琼斯,卢·坦普尔,Torrence Davis,Terri Merritt Bennett,贾德·罗德曼,朱丽叶塔·丹妮埃拉",悬疑,88,2018,5.5,0.0,暂无发行公司,暂无制片公司
