电影名,导演,编剧,演员,上映时间,片长,类型,评分
昨天,张杨,"霍昕,张杨","贾宏声,王彤,贾凤森",2001-09-04(威尼斯电影节),114 分钟,剧情,8.6
哭声 곡성,罗泓轸,罗泓轸,"郭度沅,黄政民,千禹熙,国村隼,金基天,黄锡晶,李龙女,金焕熙",2016-05-11(韩国),156分钟,剧情,7.3
偷自行车的人 Ladri di biciclette,维托里奥·德西卡,"阿道夫·弗兰奇,切萨雷·扎瓦蒂尼,杰拉尔多·圭列里,苏索·切基·达米科,维托里奥·德西卡,奥雷斯特·比安科利","兰贝托·马乔拉尼,恩佐·斯泰奥拉,莉安拉·卡雷尔,吉诺·萨尔塔梅伦达,维托里奥·安东努奇",1948-11-24,89分钟,剧情,9.0
福音战士新剧场版：破 ヱヴァンゲリヲン新劇場版：破,庵野秀明,庵野秀明,"绪方惠美,林原惠美,宫村优子,坂本真绫,三石琴乃,山口由里子,山寺宏一,石田彰,立木文彦,清川元梦,长泽美树,子安武人,优希比吕,关智一,岩永哲哉,岩男润子,麦人,丸山咏二,西村知道,宇垣秀成,中博史,佐久间玲,山崎和佳奈,野田顺子,大原沙耶香,世户沙织,大川透,小野冢贵志,泷知史,室园丈裕,杉崎亮,茂木隆盛,山村响,藤本隆弘,岛田知美,入江崇史,金丸淳一",2009-06-27,108分钟,剧情,9.3
哭泣的草原 Τριλογία 1: Το Λιβάδι που δακρύζει,西奥·安哲罗普洛斯,"托尼诺·格拉,西奥·安哲罗普洛斯,帕特罗斯·马可瑞斯,Giorgio Silvagni","吉欧格·亚曼尼斯,Nikos Poursadinis,Michael Yannatos,伊娃·科塔曼尼多,Alexandra Aidini",2004-02-12,Greece: 185 分钟,剧情,9.0
锦衣之下之绣春刀,榘庭,"张启敏,左晓慧","魏冠男,张昕宇,赵菁,秦楚明,孟飞,漆培鑫,王梓旭",2019-04-23(中国大陆),85分钟,剧情,4.1
Good Ol Girl,Sarah Brennan Kolb,"Sarah Brennan Kolb,Stella Quinn",暂无演员信息,2020-03(西南偏南电影节),78分钟,纪录片,暂无电影评分
飞刀手 飛刀手,张彻,"张彻,李至善","郑佩佩,罗烈,郑雷,杨志卿,井淼",1969-06-18,Hong Kong: 93 分钟(DVD),剧情,7.0
星球大战前传1：幽灵的威胁 Star Wars: Episode I - The Phantom Menace,乔治·卢卡斯,乔治·卢卡斯,"连姆·尼森,伊万·麦克格雷格,娜塔莉·波特曼,杰克·洛伊德,伊恩·麦克迪阿梅德,潘妮拉·奥古斯特,奥利弗·福德·戴维斯,阿梅德·贝斯特,安东尼·丹尼尔斯,肯尼·贝克,弗兰克·奥兹,特伦斯·斯坦普,布耐恩·布莱塞得,安德鲁·斯考姆比,休·夸希",1999-11-05(中国大陆),136 分钟,动作,8.2
舞力假期 Walking on Sunshine,马科斯·吉瓦,乔舒亚·圣约翰斯顿,"格雷·怀斯,吉欧里奥·贝鲁蒂,汉娜·阿特登,安娜贝尔·斯考莉,利昂娜·刘易斯,玛瑞沃拉·嘉沃斯卡,乔蕾·科斯,凯蒂·布兰德,卢克·霍普,理查德·班克斯,艾德里安·帕默,丹尼·基兰",2014-06-27(英国),97分钟,爱情,6.0
狼城脂粉侠 Cat Ballou,埃利奥特·西尔弗斯坦,"弗兰克·威尔森,沃尔特·纽曼","简·方达,李·马文,迈克尔·卡兰",1965-06-24,97 分钟,喜剧,7.4
巴黎圣母院 Notre Dame de Paris,Gilles Maheu,"Luc Plamondon,维克多·雨果","海伦娜·赛加拉,加劳,丹尼尔·拉沃伊,布鲁诺·佩尔蒂埃,帕特里克·费欧里,拉克·默维尔,朱丽叶·泽纳缇",暂无上映时间,150分钟,剧情,9.4
勃起 Erection,Tannaz Hazemi,"Tannaz Hazemi,James Grimaldi","卢克·马可法莱恩,Bonnie Swencionis",暂无上映时间,10分钟,剧情,5.1
就算是爸爸，也想做 パパだって、したい,熨斗谷充孝,西藤步,"山中真寻,寺岛惇太,古木望,白井悠介",2019-01-07(日本),暂无电影时长,爱情,6.7
唯一的妹妹 ミク、僕だけの妹,城定秀夫,城定秀夫,"伊东千奈美,麻木貴仁,佐々木道成,和田光沙,久保獅子,一本杉渡",2018-06-02(日本),70分钟,情色,5.7
美国恐怖故事：洛亚诺克 第六季 American Horror Story: Roanoke Season 6,布拉德利·比克尔,"瑞恩·墨菲,布拉德·法尔查克","凯西·贝茨,莎拉·保罗森,小库珀·古丁,莉莉·拉贝,安德烈·霍兰,安吉拉·贝塞特,阿迪纳·波特,夏恩·杰克逊,埃文·彼得斯,丹尼斯·欧哈拉,韦斯·本特利,莱斯·佩德罗索,泰莎·法米加,Lady Gaga",2016-09-14(美国),暂无电影时长,剧情,7.6
西行 Go West,巴斯特·基顿,"巴斯特·基顿,莱克斯·尼尔,Raymond Cannon","巴斯特·基顿,Howard Truesdale,Kathleen Myers,Ray Thompson,Brown Eyes,罗斯科·阿巴克尔,乔·基顿,Gus Leonard,Babe London",1925-11-01(美国),69分钟,喜剧,7.8
冰雪奇缘2 Frozen II,克里斯·巴克,"珍妮弗·李,克里斯·巴克,马克·史密斯,克里斯汀·安德森·洛佩兹,罗伯特·洛佩兹","克里斯汀·贝尔,伊迪娜·门泽尔,乔什·加德,乔纳森·格罗夫,杰森·雷特,埃文·蕾切尔·伍德,斯特林·K·布朗,玛莎·普林顿,圣蒂诺·方塔纳,阿尔弗雷德·莫里纳,瑞秋·马休斯",2019-11-22(美国/中国大陆),103分钟,喜剧,7.2
换季期 환절기,李东恩,李东恩,"裴宗玉,李源根,池允浩,朴元尚,徐正妍,禹志贤,金子英,白智媛,金艺恩,米锡",2016-10-09(釜山电影节),115分钟,剧情,7.7
斯大林格勒 Stalingrad,Guido Knopp,"Sebastian Dehnhardt,Jörg Müllner",暂无演员信息,2003,暂无电影时长,纪录片,暂无电影评分
一九四四 1944,埃尔莫·纽加农,里奥·古拿斯,"卡斯帕·威尔伯格,克里斯蒂安·乌克斯库拉,麦肯·施密特,格特·劳塞,亨德里克·图姆佩勒,卡尔·安德烈亚斯·卡梅特,亨里克·卡尔梅特,帕努·欧加,普瑞特·斯川伯格,普瑞特·派厄斯,马特·派厄斯,克瑞斯托·维丁,贾克·普林特斯,马格努斯·马里乌森,迈特·马姆斯登,托努·欧加,瑟珀·西曼,安妮·里曼",2015-02-08(柏林电影节),100分钟,剧情,8.1
古剑奇谭,梁胜权,"邵潇逸,逐风","杨幂,李易峰,马天宇,乔振宇,郑爽,钟欣潼,陈伟霆,张智尧,陈紫函,张檬,高伟光,张云龙",2014-07-02(中国大陆),暂无电影时长,剧情,6.7
红发少女安妮 赤毛のアン,高畑勋,"千葉茂樹,高畑勋,神山征二郎,荒木芳久,磯村愛子,高野丈邦","井上和彦,小山茉美,曾我部和行,山田荣子,武藤礼子",1979-01-07(日本),暂无电影时长,动画,8.1
魅惑 Córki dancingu,阿格涅什卡·斯莫琴斯卡,罗伯特·博勒斯德,"玛塔·马祖雷克,米卡丽娜·欧赞思佳,金嘉·普雷斯,安德烈·卡诺普卡,雅酷朴·盖尔秀,兹古蒙特·马拉诺维兹奇,马格达莱娜·谢莱卡,卡翠娜·赫尔曼,马辛·科瓦奇克,马尔塔·马利克瓦思佳,兹比格涅夫·布奇科夫斯基,伊沃娜·别尔斯卡",2015-12-25(波兰),92分钟,剧情,6.0
形影不离（俄国） Мотыльки,Vitaliy Vorobyov,Valeriy Mukharyamov,"玛利亚·波叶扎耶娃,Yuriy Borisov,Evgeniya Loza,朱利亚·鲁特伯格,尤里·纳扎罗夫,安德鲁·喀科弗,Vladimir Vinogradov,Stanislav Melnik,Maksim Zausalin,Timur Bokancha,Azamat Nigmanov,Viktor Saraykin,Olesya Zhurakovskaya,Konstantin Kostyshin,Boris Orlov",2013-06-02(俄罗斯),112分钟,灾难,暂无电影评分
1995年中央电视台春节联欢晚会,赵安,"许戈辉,赵忠祥,倪萍","许戈辉,赵忠祥,倪萍",1995-02-18,暂无电影时长,音乐,6.8
铁轮 鉄輪,新藤兼人,新藤兼人,"乙羽信子,観世栄夫",1972-04-22,91分钟,剧情,6.0
名校风暴 第一季 Élite Season 1,达瑞欧·马德罗纳,"奥马尔·阿尤索,米格尔·贝尔纳尔德阿尤,米娜·艾尔·哈玛尼,伊坦森·艾斯卡米亚,艾斯特·爱珀斯托,米盖尔·赫尔南,海因米·洛伦特,萝拉·马勒费尼,丹娜.帕欧拉,玛利亚·佩德拉萨,阿隆·陂佩,阿尔瓦罗·里科,豪尔赫·苏克特,耶稣·加洛,莎妮·阿蒂亚斯,Paco Blázquez","奥马尔·阿尤索,米格尔·贝尔纳尔德阿尤,米娜·艾尔·哈玛尼,伊坦森·艾斯卡米亚,艾斯特·爱珀斯托,米盖尔·赫尔南,海因米·洛伦特,萝拉·马勒费尼,丹娜.帕欧拉,玛利亚·佩德拉萨,阿隆·陂佩,阿尔瓦罗·里科,豪尔赫·苏克特,耶稣·加洛,莎妮·阿蒂亚斯,Paco Blázquez",2018-10-05(西班牙),暂无电影时长,剧情,7.8
精疲力尽 À bout de souffle,让-吕克·戈达尔,"让-吕克·戈达尔,弗朗索瓦·特吕弗","让-保罗·贝尔蒙多,珍·茜宝,达尼埃尔·布朗热,让-皮埃尔·梅尔维尔,亨利-雅克·于埃,Liliane Dreyfus,克洛德·芒萨尔",1960-03-16(法国),90 分钟,剧情,8.4
爱丽丝梦游仙境2：镜中奇遇记 Alice Through the Looking Glass,詹姆斯·博宾,"琳达·伍尔芙顿,路易斯·卡罗尔","约翰尼·德普,米娅·华希科沃斯卡,海伦娜·伯翰·卡特,安妮·海瑟薇,萨莎·拜伦·科恩,瑞斯·伊凡斯,马特·卢卡斯,琳赛·邓肯,里奥·比尔,杰拉丁妮·詹姆斯,安德鲁·斯科特,理查德·阿米蒂奇,爱德华·斯皮伊尔斯,艾伦·瑞克曼,保罗·怀特豪斯,斯蒂芬·弗雷,马特·沃格尔,芭芭拉·温德索,麦克·辛,蒂莫西·斯波,托比·琼斯",2016-05-27(中国大陆/美国),115分钟(中国大陆),奇幻,6.9
特工绍特 Salt,菲利普·诺伊斯,科特·维莫,"安吉丽娜·朱莉,列维·施瑞博尔,切瓦特·埃加福,达尼尔·奥勒布里斯基,奥古斯特·迪赫,丹尼尔·皮尔斯,亨特·布洛克,安德鲁·布劳尔,奥莱克·克鲁帕,佐伊·利斯特·琼斯",2010-07-19(加州首映),100分钟,动作,7.2
为所应为 Do the Right Thing,斯派克·李,斯派克·李,"丹尼·爱罗,奥西·戴维斯,露比·迪,理查德·埃德森,吉安卡罗·埃斯波西托,斯派克·李,比尔·努恩,约翰·特托罗,保罗·本杰明,弗兰基·费森,罗宾·哈里斯,茹瓦·李,米盖尔·桑多瓦尔,里克·埃罗,约翰·萨维奇,塞缪尔·杰克逊,罗茜·佩雷兹,罗杰·格午埃文·史密斯,史蒂夫·怀特,马丁·劳伦斯,伦纳德·L·托马斯,弗兰克·文森特,理查德·哈伯森,斯蒂夫·朴,金妮·杨,肖恩·埃利奥特,埃里克·德拉姆斯,加里·帕斯托雷,尼古拉斯·特图罗",1989-05-19(戛纳电影节),120 分钟,喜剧,8.1
暗之光 עלטה,迈克尔·迈耶,"Yael Shafrir,迈克尔·迈耶","尼古拉斯·雅各布,迈克尔·阿洛尼",2012-09-07(多伦多电影节),96分钟,剧情,8.2
是非之地 Badland,Justin Lee,Justin Lee,"Kevin Makely,米拉·索维诺,布鲁斯·邓恩,韦斯·斯塔迪,特雷斯·阿德金斯,杰夫·法赫,托尼·托德,詹姆斯·拉索,阿曼达·怀斯,瑞恩·凯利,托德·罗宾森,Aidan Bristow,Reggie Watkins,Megan Therese Rippey,Anita Leeman Torres",2019-11-01(美国),117分钟,西部,6.7
杨门女将之女儿当自强,卫翰韬,"郑怀兴,郑宜庸,王莉芝","李若彤,郑佩佩,连凯",暂无上映时间,90分钟,剧情,7.6
不一样的天空 What's Eating Gilbert Grape,拉斯·霍尔斯道姆,彼得·赫奇斯,"约翰尼·德普,莱昂纳多·迪卡普里奥,朱丽叶特·刘易斯,玛丽·斯汀伯根,达尔莱尼·凯茨,劳拉·哈灵顿,马里·凯特·舒切尔哈德特,凯文·泰德,约翰·C·赖利,克里斯平·格洛弗,蒂姆·格林,Cameron Finley,Tim Simek,Nicholas Stojanovich,利比·维拉利,乔·史蒂文斯,莫娜·李·富尔茨,Daniel Gullahorn,Brent Bratton,Buck Reynolds,Damian Tamburro",1993-12-17(美国),118分钟,剧情,8.6
兵王,王明军,谢思兵,"郑奇,宋轶,李君峰,闫庆元,陈建飞,王砚辉,杨新鸣,张陆,谭希和,许敏",2018-06-05(中国大陆),暂无电影时长,剧情,暂无电影评分
本杰明 Benjamin,西蒙·阿姆斯特尔,西蒙·阿姆斯特尔,"科林·摩根,安娜·钱斯勒,菲尼克斯·布罗萨德,乔尔·弗莱,杰克·罗文,内森·斯图尔特-贾瑞特,艾丽·肯德里克,杰西·卡芙,Michèle Belgrand,James Lailey,乔安妮·豪沃思,亚历克斯·洛威",2018-10-19(伦敦电影节),85分钟,喜剧,7.5
邪不压正,姜文,"姜文,何冀平,李非,孙悦,张北海","彭于晏,廖凡,姜文,周韵,许晴,泽田谦也,安地,史航,李梦,丁嘉丽,陈曦",2018-07-13(中国大陆),137分钟,剧情,7.0
恩怨情天 The Unforgiven,约翰·休斯顿,本·马多,"伯特·兰卡斯特,奥黛丽·赫本,丽莲·吉许",1960-04-06,125 分钟,剧情,6.1
修女也疯狂 Sister Act,埃米利·阿朵里诺,Joseph Howard,"乌比·戈德堡,玛吉·史密斯,凯茜·纳基麦,温迪·麦凯纳,哈威·凯特尔",1992-05-29,100 分钟,喜剧,8.1
长安十二时辰,曹盾,"爪子工作室,马伯庸","雷佳音,易烊千玺,周一围,芦芳生,热依扎,王鹤润,杰曼·翰苏,韩童生,李媛,余皑磊,艾如,蔡鹭,赵魏,冯嘉怡,吕凉,吴晓亮,徐璐,高叶,王思思,曲栅栅",2019-06-27(中国大陆),暂无电影时长,剧情,8.3
拉字至上  第四季 The L Word Season 4,布朗温·休斯,"艾琳·柴肯,阿芮尔·施拉格,劳蕾尔·霍勒曼","詹妮弗·比尔斯,蕾莎·海利,米娅·科施娜,凯瑟琳·莫宁,蕾切尔·雪莉",2007-01-07(加拿大),暂无电影时长,剧情,8.9
复仇的女枪手 Hannie Caulder,伯特·肯尼迪,"Peter Cooper,伯特·肯尼迪","拉蔻儿·薇芝,欧内斯特·博格宁,罗伯特·考普",1971-12-25,85 分钟,剧情,5.8
十三太保,张彻,"张彻,倪匡","姜大卫,狄龙,金汉,李丽丽,谷峰",1970-08-14,117 分钟,剧情,7.4
百慕大异兽 bermuda tentacles,尼克·里昂,吉奥夫·米德,"特雷弗·多诺万,琳达·汉密尔顿,Mya ...Lt. Plumber",2014-04-15(美国),暂无电影时长,动作,2.9
超凡蜘蛛侠2 The Amazing Spider-Man 2,马克·韦布,"艾里克斯·库兹曼,罗伯托·奥奇,杰夫·皮克纳,詹姆斯·范德比尔特,斯坦·李,史蒂夫·迪特寇","安德鲁·加菲尔德,艾玛·斯通,杰米·福克斯,戴恩·德哈恩,坎贝尔·斯科特,艾伯丝·戴维兹,科鲁姆·费奥瑞,保罗·吉亚玛提,莎莉·菲尔德,克里斯·泽尔卡,丹尼斯·利瑞,弗兰克·迪尔,马尔顿·索克斯,斯坦·李,麦克斯·查尔斯,菲丽希缇·琼斯",2014-05-04(中国大陆),142分钟,动作,7.5
周末夜狂热 Saturday Night Fever,约翰·班德汉姆,"Nik Cohn,诺曼·韦克斯勒","约翰·特拉沃尔塔,凯伦·琳恩·高妮,保罗·佩普,约瑟夫·卡利,丹妮·狄龙",1977-12-16(美国),118分钟,剧情,7.9
沉默的证人,雷尼·哈林,"吴孟璋,畅游","张家辉,杨紫,任贤齐,李成敏,冯嘉怡,陈家乐,马书良,欧阳靖,郭晋安,吴卓羲,郭羡妮,明鹏",2019-03-18(中国香港国际电影节),94分钟,动作,5.3
幸福泌尿科 비뇨기과 여의사들,조태호,"김지연,주희,유종해,조용복","김지연,주희,유종해,조용복",2018-02-22(韩国),72分钟,爱情,3.9
我就是世界末日 Je suis la fin du monde,Gaspar Palacio,"埃里克·巴比尔,Jade Barlatier","埃里克·巴比尔,Jade Barlatier",2017-12-04(法国),1分钟,灾难,暂无电影评分
黄色 Yellow,Alfredo De Villa,Nacoma Whobrey,"罗塞莉·桑切斯,比尔·杜克,D·B·斯威尼",2007-06-07,USA: 90 分钟,剧情,6.9
娜娜 NANA -ナナ-,浅香守生,"矢泽爱,金春智子,笔安一幸,浦畑达彦","朴璐美,川菜翠,木内秀信,川原庆久,关智一,石田彰,平野绫,森川智之,诹访部顺一,本田贵子,高桥广树,小岛惠美,金井美香,胜杏里,周防玲子,千叶纱子,立木文彦,滨田贤二,藤井启辅",2006-04-05(日本),暂无电影时长,剧情,9.1
双生薄荷 ダブルミンツ,内田英治,"内田英治,中村明日美子","渊上泰史,田中俊介,须贺健太,川笼石骏平,富手麻妙,每熊克哉,一濑绫子,川崎美海,菅原大吉,高桥和也,小木茂光",2017-06-03(日本),100分钟,剧情,6.9
飞越温柔窝 Goin' South,杰克·尼科尔森,"Al Ramrus,艾伦·曼德尔,查尔斯·谢尔","杰克·尼科尔森,玛丽·斯汀伯根,克里斯托弗·洛伊德,约翰·贝鲁西,维罗尼卡·卡维特,理查德·布拉德福德,丹尼·德维托",1978-10-06,105 分钟,喜剧,6.8
辉夜大小姐想让我告白 第一季 天才们的恋爱头脑战 かぐや様は告らせたい～天才たちの恋愛頭脳戦～,畠山守,中西泰博,"古贺葵,古川慎,小原好美,铃木崚汰,花守由美里,青山穰,麻仓桃,八代拓,铃代纱弓,子安武人",2019-01-12(日本),暂无电影时长,喜剧,9.0
"西塞英雄谱 Buffalo Bill and the Indians, or Sitting Bull's History Lesson",罗伯特·奥特曼,"Arthur Kopit,阿兰·鲁道夫,罗伯特·奥特曼","保罗·纽曼,乔尔·格雷,凯文·麦卡锡,哈威·凯特尔,Allan F. Nicholls,杰拉丁·卓别林,约翰·康西丁,罗伯特·多奎,迈克·卡普兰,伯特·莱姆森,Bonnie Leaders,Noelle Rogers,Evelyn Lear,丹佛·派尔,Frank Kaquitts",1976-06-24(美国),123 分钟,喜剧,6.7
我的娜塔莎,郭靖宇,高满堂,"朱亚文,伊莉莎,岳跃,马恩然,白恩,秦卫东",2012-01-01,暂无电影时长,剧情,8.4
破冰船 Ледокол,尼古拉·霍梅里基,尼古拉·霍梅里基,"彼得·费奥多罗夫,谢尔盖·普斯科帕里斯,亚历山大·帕里,维塔利·哈耶夫,阿列克谢·巴拉巴什,奥尔加·斯米尔诺娃,安娜·米哈尔科娃,亚历山大·亚森科,德米特里·珀德诺佐夫,鲍里斯·卡莫尔津",2016-10-20(俄罗斯),124分钟,剧情,6.6
烈火战车 Chariots of Fire,休·赫德森,科林·韦兰,"本·克劳斯,奈杰尔·哈弗斯,尼古拉斯·法瑞尔,伊安·霍姆,伊安·查里森,约翰·吉尔古德,林赛·安德森",1981-03-30(英国),124分钟,剧情,7.8
命运/冠位指定 绝对魔兽战线巴比伦尼亚 Fate/Grand Order -絶対魔獣戦線バビロニア-,赤井俊文,"奈须蘑菇,小太刀右京","岛崎信长,高桥李依,川澄绫子,铃村健一,坂本真绫,关智一,小林优,樱井孝宏,浅川悠,植田佳奈,远藤绫,伊藤美纪,早见沙织,稻田彻,三木真一郎,悠木碧,中田让治,内山夕实,野岛健儿,米泽圆,杉田智和",2019-10-05(日本),暂无电影时长,剧情,8.2
古惑仔之人在江湖,刘伟强,文隽,"郑伊健,陈小春,吴镇宇,黎姿,林晓峰,谢天华,林尚义,朱永棠,吴志雄,任达华,夏萍,罗兰,王龙威,陈秀茹",1996-01-25(中国香港),97 分钟,动作,7.8
启航2020,杨颖,暂无编剧信息,"杨颖,王珮瑜,许魏洲,蔡依林,张若昀,关晓彤,欧阳娜娜,宋祖儿,李宇春",2019-12-31(中国大陆),暂无电影时长,歌舞,暂无电影评分
局外人 The Outsider,蒂莫西·伍德沃,Sean Ryan,"约翰·芬,特雷斯·阿德金斯,肖恩·派特里克·弗兰纳里,Kaiwi Lyman,丹尼·特雷霍,Mitchell L. Johnson,Philip V. Bruenn,Nelli Tsay,Peter Sherayko,Cara Fay",2019-06-14(美国),暂无电影时长,西部,4.3
92黑玫瑰对黑玫瑰 92黑玫瑰對黑玫瑰,刘镇伟,刘镇伟,"梁家辉,邵美琪,毛舜筠,黄韵诗,冯宝宝",1992-07-02,95分钟,喜剧,7.4
冰雪奇缘：生日惊喜 Frozen Fever,珍妮弗·李,"珍妮弗·李,克里斯·巴克","克里斯汀·贝尔,伊迪娜·门泽尔,乔纳森·格罗夫,乔什·加德,圣蒂诺·方塔纳,克里斯·威廉姆斯,保罗·布里格斯",2015-02-13(柏林电影节),8分钟,喜剧,8.3
豹 Il gattopardo,卢基诺·维斯康蒂,"苏索·切基·达米科,帕斯夸莱·费斯塔·康帕尼莱,卢基诺·维斯康蒂","伯特·兰卡斯特,克劳迪娅·卡汀娜,阿兰·德龙,保罗·斯托帕,里娜·莫雷利",1963-03-29(意大利),187分钟,剧情,8.8
包青天,孙树培,"陈文贵,温丽芳,邓育焜,陈曼玲,蔡文杰","金超群,何家劲,范鸿轩,蔡文杰,邓育焜,陈曼玲,周平,乔安,梁立寅,李昌民,韦辛,叶云樵,姚庆康,温丽芳,李小宁,赖慧中,宋文仲,李宜",1993-02-23(中国台湾),暂无电影时长,剧情,8.1
HIStory3-圈套,李青蓉,"林珮瑜,邵慧婷","徐钧浩,吴承洋,卞庆华,陈廷轩,林意箴,丁春诚,梅贤治,陈家逵,周明宇,章广辰,颜怡平,蔡承邑,劉宇昕",2019-04-16(中国台湾),暂无电影时长,剧情,7.7
冰河次世纪 Ice,Jean de Segonzac,"Roderick Taylor,Bruce A. Taylor","格兰特·秀,乌多·基尔,Eva LaRue Callahan",1998-11-29,暂无电影时长,剧情,5.1
阿尔罕布拉宫的回忆 알함브라 궁전의 추억,安吉镐,宋载正,"玄彬,朴信惠,朴勋,朴灿烈,韩宝凛,闵镇雄,李学周,李来,李时媛,赵贤哲,金容琳,金义城,柳善英,朴真宇,朴海秀",2018-12-01(韩国),暂无电影时长,爱情,7.6
左撇子布朗之歌 The Ballad of Lefty Brown,贾瑞德·默谢,贾瑞德·默谢,"比尔·普尔曼,彼得·方达,Joseph Anderson",2017-03-17(西南偏南电影节),111分钟,西部,6.1
佐伊的超凡歌单 Zoey's Extraordinary Playlist,理查德·谢帕德,"奥斯汀·温斯伯格,萨曼莎·麦金太尔","斯蒂芬妮·斯泰尔斯,神奈川宏幸,简·拉维,斯盖拉·阿斯丁,艾利克斯·纽维尔,约翰·克拉伦斯·斯图尔特,彼得·盖勒,玛丽·斯汀伯根,劳伦·格拉汉姆,迈克尔·汤马斯·格兰特,卡皮尔·托尔沃克,安德鲁·利兹,茵地亚·德·比尤福特,亚当·博谢纳,康妮·陈,丹·萨霍夫,辛德拉·车,尼克·巴加,克雷格·哈斯,瑞贝卡·薇索基,威廉·W·巴伯,戈登·哈特",2020-01-07(美国),暂无电影时长,喜剧,7.9
神雕侠侣,于敏,"刘毅,王雪静,谭岚,郎雪枫","刘亦菲,黄晓明,陈紫函,杨幂,叮当,王洛勇,赵鸿飞,钱博,孟广美,于承惠,陈继铭,翟乃社,孔琳,钟镇涛,赵锦焘,傅淼,高虎,杨蕊,程枫,李明启,赵亮,孙锂华,梁丽,黄小蕾,王九胜,周浩东,黑子,朱泳腾,袁苑,张政勇",2006-03-14(中国大陆),暂无电影时长,武侠,7.3
地球之盐 Le sel de la Terre,维姆·文德斯,"维姆·文德斯,朱利安·诺里贝罗·萨尔加多,戴维·罗西尔,Camille Delafon","塞巴斯蒂昂·萨尔加多,维姆·文德斯,朱利安·诺里贝罗·萨尔加多,Lélia Wanick Salgado",2014-10-15(法国),110分钟,纪录片,9.3
夕雾花园 The Garden of Evening Mists,林书宇,"理查德·史密斯,陈团英","李心洁,阿部宽,张艾嘉,大卫·奥克斯,朱利安·山德斯,约翰·汉纳,林宣妤,陈琼华,谢振刚,Naeim Ghalili",2019-11-29(中国台湾),120分钟,剧情,7.2
和你在一起,陈凯歌,"薛晓路,陈凯歌","唐韵,刘佩琦,陈红,王志文,陈凯歌,程前,陈强",2002-09-20(中国大陆),116 分钟,剧情,7.8
美女与野兽之贝儿的心愿 Beauty and the Beast: The Enchanted Christmas,Andrew Knight,"弗利普·科布勒,辛迪·马库斯,比尔·莫兹,鲍勃·罗斯","佩吉·奥哈拉,罗比·本森,杰里·奥尔巴赫,戴维·奥格登·施蒂尔斯,伯纳黛特·彼得斯,蒂姆·克里,海利·乔·奥斯蒙,弗兰克·维尔克,杰夫·贝内特,吉姆·卡明斯,凯斯·索西,保罗·雷宾斯,安吉拉·兰斯伯瑞",1997-11-11(美国),72分钟,动画,8.0
少数派报告 Minority Report,史蒂文·斯皮尔伯格,"斯科特·弗兰克,乔恩·科恩,菲利普·K·迪克","汤姆·克鲁斯,科林·法瑞尔,马克斯·冯·叙多夫,萨曼莎·莫顿,凯瑟琳·莫里斯",2002-06-21(美国),145分钟,科幻,7.8
僵尸肖恩 Shaun of the Dead,埃德加·赖特,"埃德加·赖特,西蒙·佩吉","西蒙·佩吉,尼克·弗罗斯特,比尔·奈伊,凯特·阿什菲尔德,彼得·塞拉菲诺威茨,迪兰·莫兰,露茜·戴维斯,尼古拉·坎宁安,基尔·米尔斯,马特·杰恩斯,加文·弗格森,霍顿·朱庇特,蒂姆·巴格雷,阿尔温德·多希,拉菲·斯波,索奈尔·达卓",2004-04-09(英国),99 分钟,喜剧,7.7
与墨索里尼喝茶 Tea with Mussolini,佛朗哥·泽菲雷里,"佛朗哥·泽菲雷里,约翰·莫蒂默","雪儿,朱迪·丹奇,琼·普莱怀特,玛吉·史密斯,莉莉·汤姆林,贝尔德·华莱士",1999-03-26,117 分钟,剧情,8.4
云海玉弓缘 雲海玉弓緣,傅奇,梁羽生,"陈思思,王葆真,傅奇",1966-01-20,107分钟,动作,6.6
全金属外壳 Full Metal Jacket,斯坦利·库布里克,"古斯塔夫·哈斯福德,Michael Herr,斯坦利·库布里克","亚当·鲍德温,马修·莫迪恩,文森特·多诺费奥,李·厄米,Kevyn Major Howard",1987-06-17,116 分钟,剧情,8.6
美女与野兽 La belle et la bête,克里斯多夫·甘斯,"桑德拉·沃安,克里斯多夫·甘斯","文森特·卡索,蕾雅·赛杜,安德烈·杜索里埃,爱德华多·诺列加,米丽娅姆·沙琳斯,奥黛丽·拉米,萨拉·吉罗多,乔纳森·德缪杰,尼古拉斯·高布,卢卡·梅利亚瓦,伊冯娜·卡特菲德,德扬·布钦,沃尔夫冈·梅纳迪,米基·哈特,阿瑟·多普勒",2014-09-12(中国大陆),112分钟,爱情,6.6
霹雳娇娃 Charlie's Angels,伊丽莎白·班克斯,"伊丽莎白·班克斯,埃文·斯彼里奥托普洛斯,大卫·奥伯恩","克里斯汀·斯图尔特,娜奥米·斯科特,埃拉·巴林斯卡,伊丽莎白·班克斯,帕特里克·斯图尔特,山姆·克拉弗林,乔纳森·塔克,奈特·法松,诺亚·琴蒂内奥,路易斯·赫拉尔多·门德斯,杰曼·翰苏,吴育刚,利维娅‧马特斯,莎拉·贝纳尼,罗伯特‧马瑟,丹尼尔·里索,穆拉利·佩鲁马尔,杰奎琳·史密斯,海莉·斯坦菲尔德,丽丽·莱因哈特,拉弗恩·考克斯,丹尼卡·帕翠克,龙达·鲁西",2019-11-15(美国/中国大陆),119分钟,动作,5.5
