电影名,导演,编剧,演员,上映时间,片长,类型,评分
回忆三部曲 Memories,森本晃司,"今敏,大友克洋","矶部勉,山寺宏一,高岛雅罗,饭塚昭三,千叶繁,长谷川亚美,泽海阳子,石村知子,平野正人,坂口哲夫,大场真人,堀秀行,羽佐间道夫,大塚周夫,阪脩,绪方贤一,大塚明夫,京田尚子,石森达幸,藤井佳代子,神代知衣,曾我部和行,岛田敏,小野英昭,田中亮一,岸野幸正,佐藤佑晖,大泷进矢,卷岛直树,岩永哲哉,中村尚子,小林通孝,林勇,山田俊司,山本圭子,仲木隆司,中村秀利,福田信昭,江川央生,佐藤正治,佐藤蓝,长嶝高士,石川洋昭,喜多川拓郎,田中和实,园部启一,铃木胜美,盐屋浩三,河合义雄,峰敦子,大友洋子,巴菁子,斯特凡·森",1995-12-23(日本),113 分钟,科幻,8.9
魔天伦世界巡回演唱会,周杰伦,暂无编剧信息,"周杰伦,孙燕姿,李玟,陈信宏,陈慧琳,容祖儿,张智霖,陈奕迅,蔡升晏,刘冠佑,温尚翊,石锦航,蔡一智,蔡一杰,苏志威,郑伊健,陈小春,钱嘉乐,谢天华,林晓峰,杨颖,钟镇涛,甄子丹,Sylvia Stefanie",2013-05-17(中国大陆),暂无电影时长,音乐,8.7
战地军魂 Stalag 17,比利·怀德,"比利·怀德,埃德温·布卢姆","威廉·霍尔登,唐·泰勒,奥托·普雷明格,罗伯特·斯特劳斯,哈维·莱姆贝克",1953-05-29,120 分钟,剧情,8.5
吸血鬼日记 第五季 The Vampire Diaries Season 5,马科斯·西恩加,凯文·威廉姆森,"妮娜·杜波夫,保罗·韦斯利,伊恩·萨默海尔德,史蒂夫·R·麦奎因,卡特琳娜·格兰厄姆,扎齐·罗伊瑞格,坎迪丝·阿科拉,迈克尔·特瑞威诺",2013-10-03(美国),暂无电影时长,剧情,7.0
生于七月四日 Born on the Fourth of July,奥利佛·斯通,"奥利佛·斯通,罗恩·科维克","汤姆·克鲁斯,雷蒙德·J·巴里,卡罗琳·卡瓦,乔希·埃文斯,Jamie Talisman,安妮·博比,Samantha Larkin,汤姆·贝伦杰,弗兰克·威利,杰瑞·乐文,Richard Panebianco,Rob Camilletti,史蒂芬·鲍德温,Michael McTighe,Richard Haus,威廉·达福",1989-12-20,145 分钟,剧情,7.7
橘色奇迹 orange オレンジ,桥本光二郎,金子亚里纱,"土屋太凤,山崎贤人,龙星凉,山崎纮菜,樱田通,清水久留巳",2015-12-12(日本),139分钟,剧情,6.9
胖子行动队,包贝尔,"张鹏,刘智林","文章,包贝尔,郭京飞,李成敏,辣目洋子,许君聪,曾一竣,张梦露,戚玉武,仓田保昭,木幡龙,宋佳,文隽",2018-09-30(中国大陆),108分钟,喜剧,4.2
战车 The War Wagon,伯特·肯尼迪,克莱尔·胡法克,"约翰·韦恩,柯克·道格拉斯,霍华德·基尔,小罗伯特·沃克,基南·怀恩,布鲁斯·卡伯特,乔安娜·巴恩斯,布鲁斯·邓恩",1967-05-27,96 分钟,动作,7.0
顶层楼房 Penthouse North,约瑟夫·鲁本,戴维·朗格利,"米歇尔·莫纳汉,迈克尔·基顿,安德鲁·W·沃克,卡内赫迪奥·霍恩",2013(美国),86分钟,剧情,5.8
夏目友人帐 第三季 夏目友人帳 参,大森贵弘,"绿川幸,村井贞之,大野木宽,吉永亚矢,花田十辉","神谷浩史,井上和彦,小林沙苗,石田彰,堀江一真,木村良平,菅沼久义,诹访部顺一",2011-07-04(日本),暂无电影时长,剧情,9.5
吕不韦传奇,周晓文,"周晓文,吴小耕,张大千,王安庆","张铁林,宁静,陈好,高虎,张志红,高亚麟,赵雍,马仑",暂无上映时间,暂无电影时长,剧情,6.5
没头脑和不高兴,张松林,任溶溶,"邱岳峰,姚培华",1962,20分钟,喜剧,8.7
美女与野兽之幸福生活 Beauty and the Beast: Belle's Magical World,Cullen Blaine,"Alice Brown,Richard Cray,卡特·克劳克,Sheree Guitar,Chip Hand,Nancy Greystone","佩吉·奥哈拉,罗比·本森,杰夫·贝内特,吉姆·卡明斯,杰里·奥尔巴赫,戴维·奥格登·施蒂尔斯,Gregory Grudt,罗伯·鲍森,金米·罗伯特森,Anne Rogers,弗兰克·维尔克,艾普尔·温切尔,乔·安妮·沃利",1998-02-17(美国),92分钟,喜剧,8.1
不期而爱 บังเอิญรัก,ศิวัจน์ สวัสดิ์มณีกุล,"黄明明,王俊勇,洪天逸,林乐杰,陈瑞书,南思睿,周浩德,陈智霆","黄明明,王俊勇,洪天逸,林乐杰,陈瑞书,南思睿,周浩德,陈智霆",2018-08-03(泰国),暂无电影时长,爱情,8.5
芭比之胡桃夹子 Barbie in the Nutcracker,Owen Hurley,"Hilary Hinkle,Linda Engelsiepen,Rob Hudnut",暂无演员信息,2001-10-02,77分钟,动画,7.9
三少爷的剑 三少爺的劍,楚原,楚原,"尔冬升,余安安,凌云,樊梅生,谷峰,陈萍,狄龙,姜大卫,顾冠忠",1977-07-07,91分钟,剧情,7.3
姜戈2：复仇之日 Django 2: il grande ritorno,Nello Rossati,赛尔乔·科尔布奇,"Franco Nero,Donald Pleasence",1987,88 分钟,西部,暂无电影评分
军舰岛 군함도,柳昇完,"柳昇完,申庆一","黄政民,苏志燮,宋仲基,李贞贤,李璟荣,金秀安,尹敬浩,白承哲,姜成澈,金仁宇,朴野性,郑满植,朴正范,金敏载",2017-07-26(韩国),132分钟,剧情,7.8
天坑鹰猎,成志超,"潘晓晨,薛晶","王俊凯,文淇,蒋依依,叶筱玮,郑好,刘佩琦,马跃,李小燕,张耀宇,陈叶生,王玥兮,吴越,边程,任宇,郑凯,左晓光,郭震,向皓,常凯宁,马嘉宏,展茂平,孙毓晗,金霄,孙晨熙,万子晴,邢钤程",2018-08-30(中国大陆),暂无电影时长,剧情,7.6
流星花园 流星花園,蔡岳勋,"柴智屏,冯家瑞,毛训容,神尾叶子","徐熙媛,言承旭,周渝民,朱孝天,吴建豪,杨丞琳,钱韦杉,许玮伦,钟汉良,蓝正龙,欧定兴,徐华凤,张若蓁,郑美黛,叶安婷,柯奂如,李杰圣,董至成,王月,甄秀珍,刘尔金,彭伟华,唐琪,应采灵,林祖恩,庾澄庆",2001-04-21(中国台湾),暂无电影时长,剧情,8.2
唐人街 Chinatown,罗曼·波兰斯基,"罗伯特·汤,罗曼·波兰斯基","杰克·尼科尔森,费·唐纳薇,约翰·休斯顿,戴安·拉德,罗曼·波兰斯基",1974-06-20(美国),130分钟,剧情,8.4
掠食城市 Mortal Engines,克里斯蒂安·瑞沃斯,"弗兰·威尔士,菲利帕·鲍恩斯,彼得·杰克逊,菲利普·里夫","海拉·西尔玛,雨果·维文,金智海,罗伯特·席安,莱拉·乔治,史蒂芬·朗,弗兰基·亚当斯,凯伦·皮斯托里斯,科林·萨蒙,安德鲁斯·李斯,莎拉·慕恩,罗南·拉夫特瑞,乔尔·托贝克,帕特里克·麦拉海德,史蒂芬·乌瑞,马尼克·古纳拉塔尼,菲利普·里夫,纳撒尼尔·利斯,雷吉-让·佩吉,卡卢姆·吉廷斯,安柚鑫,马克·哈德洛,马克米钦森,索菲·考克斯,莎拉·皮尔斯,奇·陈,约瑟夫·米卡-亨特,特里·诺瑞斯,安龙·杰克森,梅根·爱德华兹,尼克·布雷克,玛丽亚·沃克,阿曼·韦弗,玛德琳·亚当斯,马丁·郭,罗德尼·库克",2019-01-18(中国大陆),128分钟,动作,6.4
飓风 The Hurricane,诺曼·杰威森,"Armyan Bernstein,Dan Gordon","丹泽尔·华盛顿,维斯勒·夏农,黛博拉·卡拉·安格,列维·施瑞博尔,约翰·汉纳",1999-12-14(美国),146分钟,剧情,8.5
黑色弥撒 Black Mass,斯科特·库珀,"马克·马洛克,杰斯·巴特沃斯,迪克·莱尔,杰拉德·奥尼尔","约翰尼·德普,乔尔·埃哲顿,本尼迪克特·康伯巴奇,杰西·普莱蒙,凯文·贝肯,彼得·萨斯加德,达科塔·约翰逊,寇瑞·斯托尔,W·厄尔·布朗,朱诺·坦普尔,亚当·斯科特,朱丽安妮·尼科尔森,大卫·哈伯,布拉德·卡特,詹姆斯·拉索,埃里卡·麦克德莫特,杰瑞米·斯特朗,布雷顿·曼雷",2015-09-04(威尼斯电影节),122分钟,剧情,6.5
危情十日 Misery,罗伯·莱纳,"威廉姆·高德曼,斯蒂芬·金","詹姆斯·肯恩,凯西·贝茨,理查德·法恩斯沃斯,弗朗西斯·斯特恩哈根 ",1990-11-30,107 分钟,剧情,8.4
少年张三丰,梁德龙,李卫聪,"张卫健,李冰冰,李小璐,苏有朋,林心如,严屹宽,王艳,张铁林,胡静,牛萌萌,杜玉明",2001-03-14(中国台湾),暂无电影时长,动作,7.3
余生，请多指教,吕赢,"陆天,郑丹,吴佩娜","杨紫,肖战,翟子路,马渝捷,李沐宸,李昀锐,王成阳,赵诗意,章煜奇,杜双宇,杨潇然,夏志卿,郝文婷",暂无上映时间,暂无电影时长,爱情,暂无电影评分
海豹突击队 第二季 SEAL Team Season 2,克里斯托弗·查莱克,本杰明·卡维尔,"大卫·伯伦纳兹,麦克斯·泰瑞奥,小尼尔·布朗,A·J·巴克利,贾德·罗德曼,泰勒·格雷,杰西卡·帕尔,托尼·特拉克斯,贾斯廷·梅尔尼克,阿隆娜·塔尔,迈克尔·厄尔比,米凯拉·麦克曼努斯",2018-10-03(美国),暂无电影时长,剧情,8.8
淘金记 The Gold Rush,查理·卓别林,查理·卓别林,"查理·卓别林,马克·斯旺,Tom Murray,亨利·伯格曼,Malcolm Waite,乔治亚·黑尔,Jack Adams,Sam Allen,Harry Arras,艾伯特·奥斯汀,Marta Belfort,George Brock,海尼·康克林,Kay Deslys,James Dime,Leon Farey,Charles Force,J.C. Fowler,阿尔·欧内斯特·加西亚,Inez Gomez,希德·格鲁曼,丽泰·格雷,雷·格雷,F.F. Guenste,Jack Herrick,George Holt,Jean Huntley,Gladys Johnston,Fred Karno Jr.,Elias Lazaroff,Joan Lowell,Chris-Pin Martin,Clyde McAtee,John Millerta,贝蒂莫里西,Florence Murth",1925-06-26,95分钟(默片版),喜剧,9.1
十兄弟,李力持,"谷德昭,李慕琼,郑文辉","张敏,钟镇涛,释小龙,郝劭文,罗家英,徐锦江,黄一飞,苑琼丹,李健仁,郑祖",1995-12-23(中国香港),100 分钟,喜剧,6.8
生化危机3：灭绝 Resident Evil: Extinction,拉塞尔·穆卡希,保罗·安德森,"米拉·乔沃维奇,奥德·菲尔,伊恩·格雷,艾丽·拉特,亚香缇",2007-09-21(美国),95 分钟(美国),动作,7.3
